"tester" "activity" "data_from" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z"
"1" "WALKING" "train" -0.202794306326316 0.0897127264021053 -0.331560117789474 -0.319134719578947 0.056040006846 -0.279686751494737 -0.339032197115789 -0.103059416434737 -0.255940940315789 -0.516691938736842 -0.0335081597884211 -0.436562227473684
"1" "WALKING_UPSTAIRS" "train" -0.404321784150943 -0.190976720811321 -0.433349702075472 -0.337428188679245 0.0217695106566038 0.0859565543849057 -0.492611667924528 -0.319474609056604 -0.453597213018868 -0.565892490754717 0.151538905566038 -0.57170784
"1" "WALKING_DOWNSTAIRS" "train" 0.0382291831510204 0.00154990783591837 -0.225574471693878 0.0243308391387755 -0.112963739953061 -0.297927894693878 -0.352449631363265 -0.0557022524693878 -0.0318694271979592 -0.495422486102041 -0.181414728657143 -0.238443565306122
"1" "SITTING" "train" -0.979641238723404 -0.944084550425532 -0.959184889148936 -0.976412313191489 -0.917275006382979 -0.934469558085106 -0.976161464042553 -0.975838585319149 -0.951315544468085 -0.977904227021277 -0.962345042553192 -0.94391784106383
"1" "STANDING" "train" -0.995249932641509 -0.977070847735849 -0.985297098679245 -0.99602834509434 -0.972293102075472 -0.977937259622642 -0.986386786037736 -0.988984455849057 -0.980773122830189 -0.987497128679245 -0.987107727735849 -0.98234533
"1" "LAYING" "train" -0.9390990524 -0.86706520518 -0.8826668762 -0.9244374346 -0.8336255561 -0.81289155944 -0.850249174586 -0.9521914948 -0.909302721 -0.8822964508 -0.9512320494 -0.9165825082
"2" "WALKING" "test" -0.346048161016949 -0.0219048103322034 -0.453806369830508 -0.457651383728814 -0.16921968620339 -0.455222146440678 -0.429713536101695 -0.55477211220339 -0.396659907457627 -0.604053019152542 -0.533046952542373 -0.559856635084746
"2" "WALKING_UPSTAIRS" "test" -0.266720933270833 0.00992445881854167 -0.281001986202083 -0.320582414375 0.0848802791083333 -0.09454497643125 -0.331643577458333 -0.488086123958333 -0.248601122 -0.476358845625 -0.459758488958333 -0.218072471479167
"2" "WALKING_DOWNSTAIRS" "test" 0.112841160325532 0.278345041765957 -0.131290772 0.0161046198595745 0.171973972957447 -0.162032894287234 -0.145775970406383 -0.361913824 -0.0874944736085106 -0.379436674361702 -0.458732747446809 -0.422987665106383
"2" "SITTING" "test" -0.985803840652174 -0.957343498478261 -0.970162172608696 -0.98736209 -0.950073754130435 -0.956862864130435 -0.982621389565217 -0.982100923695652 -0.959814822391304 -0.986808501521739 -0.977356188695652 -0.963522659782609
"2" "STANDING" "test" -0.983946739814815 -0.959871697407407 -0.962471195740741 -0.989056469814815 -0.957908842222222 -0.946433583518518 -0.967037112037037 -0.972576152962963 -0.960627696111111 -0.97498812462963 -0.97103605037037 -0.969754295740741
"2" "LAYING" "test" -0.976725059791667 -0.979800877916667 -0.984380981875 -0.973246482083333 -0.981025105625 -0.984792185 -0.9864311425 -0.983321635416667 -0.9626718875 -0.988860685833333 -0.981910616458333 -0.963174222291667
"3" "WALKING" "train" -0.316614011689655 -0.0813024353275862 -0.412374074482759 -0.379276781206897 -0.124030832001724 -0.422998473965517 -0.437845763793103 -0.561526265344828 -0.418126217413793 -0.615121369827586 -0.568888673448276 -0.545896388103448
"3" "WALKING_UPSTAIRS" "train" -0.392004211474576 -0.0788094156644068 -0.504494528474576 -0.285333024050847 -0.00803987529661017 -0.350797226271186 -0.378216681762712 -0.637293508305085 -0.431503361525424 -0.484820991355932 -0.556045947118644 -0.561097649661017
"3" "WALKING_DOWNSTAIRS" "train" -0.0421706943244898 -0.00770048300204082 -0.404452414285714 -0.0654417192653061 -0.109722354322449 -0.389723034061224 -0.129066574295918 -0.542694164081633 -0.302866461179592 -0.30863033105102 -0.553094540204082 -0.548164313265306
"3" "SITTING" "train" -0.970154440961538 -0.891907751346154 -0.917987925384615 -0.971605878461538 -0.8496556575 -0.864322464038462 -0.957550637692308 -0.95617355 -0.934967958846154 -0.968013062884615 -0.939609988461538 -0.930633150769231
"3" "STANDING" "train" -0.960123409508197 -0.908075353770492 -0.939507735245902 -0.969931287377049 -0.89243434852459 -0.904801254590164 -0.901282267540984 -0.937711157213115 -0.916172537704918 -0.901985672459016 -0.923125941147541 -0.919743846065574
"3" "LAYING" "train" -0.980665609032258 -0.961169982903226 -0.968332141612903 -0.983691129032258 -0.964094604193548 -0.96327908016129 -0.970167262903226 -0.978099682258065 -0.962341960806452 -0.975986433709677 -0.977032495483871 -0.967256854193548
"4" "WALKING" "test" -0.426719449666667 -0.14939963344 -0.631005470833333 -0.447234929666667 -0.101799450565167 -0.594198325666667 -0.373384540666667 -0.688460056666667 -0.601381129166667 -0.542646759 -0.654657770166667 -0.716458475166667
"4" "WALKING_UPSTAIRS" "test" -0.294488270365385 -0.117109161492308 -0.524655722692308 -0.173217219014423 -0.101434446040385 -0.345109817692308 -0.3710689925 -0.684310201538462 -0.350765737115385 -0.483548693461538 -0.489824279230769 -0.424533512307692
"4" "WALKING_DOWNSTAIRS" "test" -0.0722392276888889 -0.129606639466667 -0.494683451555556 0.0390098262533333 -0.32253131772 -0.512694303111111 -0.240298893435556 -0.717545840444444 -0.318306481022222 -0.414919000955556 -0.691518367333333 -0.621658471333333
"4" "SITTING" "test" -0.9774624984 -0.9057829318 -0.9517837432 -0.9819081892 -0.8894673494 -0.9269993168 -0.9605896358 -0.9675836478 -0.9337768922 -0.973333107 -0.954120419 -0.9328683544
"4" "STANDING" "test" -0.973497549642857 -0.889549205 -0.93164342125 -0.978737637678571 -0.857380281803571 -0.887554317678571 -0.905464161964286 -0.955992945178571 -0.915280955357143 -0.912464793928571 -0.945825840178571 -0.91665163125
"4" "LAYING" "test" -0.958802077592593 -0.938883374444444 -0.967504278888889 -0.952464881481481 -0.946380971111111 -0.962154454259259 -0.967203736481482 -0.972187839074074 -0.961479262592593 -0.975094739444444 -0.956182500185185 -0.965807466666667
"5" "WALKING" "train" -0.287782607410714 0.00946037755178572 -0.490251090714286 -0.297517355196429 0.0426026830839286 -0.483059957321429 -0.372668749642857 -0.513951718392857 -0.213127031035714 -0.529392790178571 -0.502683380535714 -0.420367075178571
"5" "WALKING_UPSTAIRS" "train" -0.161485339978723 0.0728903158085106 -0.457470676808511 -0.00473819670425532 0.165037631180851 -0.28925665906383 -0.263615096246809 -0.516609046808511 -0.139801393244681 -0.501685580212766 -0.403486393191489 -0.380378006808511
"5" "WALKING_DOWNSTAIRS" "train" 0.0984320090212766 0.0792280694042553 -0.374740089574468 0.336554724893617 0.0268269875085106 -0.353397850212766 -0.295345101425532 -0.382483075106383 -0.034175027916383 -0.51494094106383 -0.431552775319149 -0.374705187021277
"5" "SITTING" "train" -0.977450812045455 -0.921434735681818 -0.946064216818182 -0.9825908425 -0.9022915301 -0.92184351 -0.957117251818182 -0.955460359318182 -0.938003425909091 -0.969390369318182 -0.947571471590909 -0.947346476590909
"5" "STANDING" "train" -0.964500917321429 -0.890796360535714 -0.915083799107143 -0.97066840875 -0.867933178017857 -0.858231387857143 -0.909661802321429 -0.939373524464286 -0.907190836607143 -0.912780915714286 -0.931857811428571 -0.91678935625
"5" "LAYING" "train" -0.968741678461538 -0.965419520961538 -0.977007724615385 -0.964953893653846 -0.972909186730769 -0.965882191153846 -0.975797491730769 -0.978249645769231 -0.963202948461538 -0.980705769807692 -0.977257800961538 -0.963305738076923
"6" "WALKING" "train" -0.187934323140351 0.140781621991228 -0.498520164385965 -0.34522769 0.101699642168947 -0.550474621754386 -0.239650710533333 -0.341378429473684 -0.203575458733333 -0.515323854385965 -0.332008706842105 -0.512209233508772
"6" "WALKING_UPSTAIRS" "train" -0.131075372803922 0.0978035099588235 -0.42724809972549 -0.0211335627276471 0.159123777172549 -0.36587418445098 -0.115065008156863 -0.329653779629412 -0.0464142110215686 -0.390248128039216 -0.31361857145098 -0.309998085098039
"6" "WALKING_DOWNSTAIRS" "train" 0.328308506041667 0.339771173822917 -0.277602590916667 0.403369766666667 0.283247837625 -0.4060143105 0.0633716052854167 -0.130327465789583 0.15284524938125 -0.286724914610417 -0.235470976166667 -0.275667262770833
"6" "SITTING" "train" -0.975351454727273 -0.928264365454545 -0.935798115272727 -0.982451284727273 -0.925676956 -0.925768475636364 -0.939671400545455 -0.943857393090909 -0.934764895454545 -0.963407046545455 -0.944901470363636 -0.947326797818182
"6" "STANDING" "train" -0.977100287368421 -0.930336471754386 -0.942864017017544 -0.984067374035088 -0.921449111052632 -0.922067224210526 -0.931612384385965 -0.943273146140351 -0.943239602105263 -0.952817395263158 -0.942539174210526 -0.95445570245614
"6" "LAYING" "train" -0.939114254210526 -0.923706791403509 -0.938044912280702 -0.932462941461404 -0.929711219929825 -0.924004748421053 -0.935439769649123 -0.941771544385965 -0.932636612807018 -0.962164978596491 -0.945365097894737 -0.947136774385965
"7" "WALKING" "train" -0.343048405789474 -0.0641564202736842 0.0385832252345614 -0.322034908070175 -0.143721823263158 0.133316828089298 -0.318395104666667 -0.151966687436842 -0.366733617894737 -0.563615256666667 -0.290859379017544 -0.463270018245614
"7" "WALKING_UPSTAIRS" "train" -0.336199426470588 -0.381590523137255 -0.317461021372549 -0.279870086215686 -0.341025552941176 -0.124912269443137 -0.383889342745098 -0.567920266470588 -0.408150266666667 -0.368636961470588 -0.579964614705882 -0.393062890647059
"7" "WALKING_DOWNSTAIRS" "train" 0.0443428315319149 -0.145302311446808 -0.139216222106383 0.0730110797851064 -0.190187141297872 -0.100121492529787 -0.33930147 -0.21444307293617 -0.299600267680851 -0.432730974446809 -0.351717743191489 -0.495120053191489
"7" "SITTING" "train" -0.972697126875 -0.93149063375 -0.904675337916667 -0.972879966041667 -0.904629195833333 -0.844083052916667 -0.9436317575 -0.956678065 -0.9474199325 -0.9427264225 -0.93824472 -0.939826018125
"7" "STANDING" "train" -0.976681834339623 -0.941883783773585 -0.938550519811321 -0.980541336037736 -0.919118753018868 -0.912358813773585 -0.938121637735849 -0.957548671320755 -0.957165056226415 -0.947891986226415 -0.945818157735849 -0.954339406415094
"7" "LAYING" "train" -0.953424245576923 -0.942193953846154 -0.958611644615385 -0.931120580576923 -0.922917902307692 -0.953380646346154 -0.953684547692308 -0.957570207692308 -0.956905310961538 -0.962348254423077 -0.939727873653846 -0.9588764125
"8" "WALKING" "train" -0.247389011875 0.316982393333333 -0.238634594791667 -0.148386858858333 0.32484493125 -0.158437341970833 -0.102063053808333 -0.259729692333333 -0.132902199479167 -0.234252005895833 -0.1908057215 -0.1429742348125
"8" "WALKING_UPSTAIRS" "train" -0.166411065387805 0.263431399878049 -0.0729496941121951 -0.175284990170732 0.30540146 0.133766193578049 -0.240260761682927 -0.113162144460976 0.16597418695122 -0.409955580780488 -0.0478802512585366 0.263202878429268
"8" "WALKING_DOWNSTAIRS" "train" 0.136590199860526 0.388412779763158 0.159589756534211 -0.0260463260078947 0.232184078052632 0.0214914840105263 -0.130740445236842 0.116090879026316 0.0277498065176316 -0.302735102631579 -0.0461356322868421 -0.268253406210526
"8" "SITTING" "train" -0.981142909782609 -0.94421971826087 -0.959436275869565 -0.978256730652174 -0.923829969347826 -0.933889846521739 -0.982200309782609 -0.97658989 -0.961798676956522 -0.985339301521739 -0.96892443326087 -0.962632253913044
"8" "STANDING" "train" -0.988219862222222 -0.9500491 -0.950362935555556 -0.98918374962963 -0.936231722777778 -0.919744963888889 -0.969677435925926 -0.972595487037037 -0.975512276666667 -0.974200997592593 -0.968055495925926 -0.975976456111111
"8" "LAYING" "train" -0.953538563888889 -0.951816663703704 -0.944269514074074 -0.940125298333333 -0.931236756962963 -0.931146497518519 -0.957903886111111 -0.957411160185185 -0.967461239074074 -0.967846360740741 -0.950316470925926 -0.970671966481481
"9" "WALKING" "test" -0.294711163653846 -0.257677616153846 -0.250806259788462 -0.218019977423077 -0.223972558596154 -0.0337965256573077 -0.383676120961538 -0.436905860576923 -0.240222512134615 -0.507404512692308 -0.490990336346154 -0.342367223269231
"9" "WALKING_UPSTAIRS" "test" -0.342735952653061 -0.405022798163265 -0.384710423408163 -0.369815777346939 -0.297641062755102 -0.244081808302041 -0.313941631326531 -0.499159202857143 -0.327698671183673 -0.361626377102041 -0.352033091612245 -0.165554554220408
"9" "WALKING_DOWNSTAIRS" "test" 0.103128506197619 -0.183120455428571 -0.103705822657857 0.250488758869048 -0.273561385142857 -0.0349494927142857 -0.325042890904762 -0.312512195452381 -0.250686586719048 -0.423558773952381 -0.364282565714286 -0.356561471714286
"9" "SITTING" "test" -0.959413594 -0.911683219 -0.8922013438 -0.956903459 -0.86761360746 -0.818001834824 -0.950315237 -0.9396930078 -0.940312313 -0.9618360162 -0.910583361 -0.9341874784
"9" "STANDING" "test" -0.971662692 -0.944849431777778 -0.941686874222222 -0.977579248444444 -0.938790016888889 -0.913896832222222 -0.916974437555556 -0.954514301555556 -0.941510336 -0.924738576444444 -0.941950576888889 -0.944942811777778
"9" "LAYING" "test" -0.946865494 -0.9343665984 -0.9459190006 -0.9409810272 -0.9128367508 -0.9419711636 -0.930297921 -0.9345796594 -0.9598150092 -0.9463891504 -0.9231319366 -0.965686312
"10" "WALKING" "test" -0.114190001283019 0.0533911909886792 -0.41218272245283 -0.206366497226415 -0.129775706316981 -0.435304215660377 -0.277913780754717 -0.345209034528302 -0.108530029881132 -0.458292932830189 -0.204392821584906 -0.273292866226415
"10" "WALKING_UPSTAIRS" "test" -0.139410790617021 -0.0390688222212766 -0.301206408085106 -0.171957349438298 -0.051628469647234 -0.0342347233914894 -0.218524716912766 -0.235858986212766 -0.262763367170213 -0.34130162006383 0.171735785297872 -0.403822082765957
"10" "WALKING_DOWNSTAIRS" "test" 0.215665273157895 0.00904660360263158 -0.157728357742105 0.324957743157895 -0.0633337717526316 -0.268686170263158 -0.214350280079211 -0.272495710342105 0.0391366814342105 -0.339514358157895 -0.343237004473684 -0.1503916379
"10" "SITTING" "test" -0.984943144259259 -0.9404502 -0.97464465462963 -0.982242427777778 -0.912838063018519 -0.966121042592593 -0.986477363333333 -0.986179215555556 -0.96539546962963 -0.989712360740741 -0.983579646666667 -0.962418559814815
"10" "STANDING" "test" -0.970099814318182 -0.923378745227273 -0.955272383863636 -0.982949246136364 -0.921860476590909 -0.938098683181818 -0.924005912954545 -0.960323800909091 -0.950915730909091 -0.932273942727273 -0.958399857954545 -0.958901257272727
"10" "LAYING" "test" -0.96918420862069 -0.954341849137931 -0.964300845172414 -0.96796803862069 -0.946229148258621 -0.959813667810345 -0.953793912068965 -0.954670034482759 -0.969755777241379 -0.96454456637931 -0.953453496551724 -0.975298797068965
"11" "WALKING" "train" -0.396533731864407 -0.0830478435976271 -0.616402910169492 -0.433703311525424 -0.0966068285372881 -0.523093394915254 -0.514753307627119 -0.593107398474576 -0.398293336610169 -0.623150268983051 -0.453663184067797 -0.498554639491525
"11" "WALKING_UPSTAIRS" "train" -0.355348902222222 -0.254645206944444 -0.551742083518519 -0.198733655611111 -0.0885048145574074 -0.113701770190741 -0.471782782222222 -0.581167154444444 -0.674671878518519 -0.517811645740741 -0.153787850538889 -0.729928728518519
"11" "WALKING_DOWNSTAIRS" "train" 0.0351937228130435 0.0247508134326087 -0.377624755652174 0.179906764395652 0.0262777181065217 -0.348626581521739 -0.318777012804348 -0.528254524130435 -0.273459111956522 -0.397722757934783 -0.481127494565217 -0.397220471086957
"11" "SITTING" "train" -0.981481454339623 -0.934503182830189 -0.972855110377359 -0.983389810188679 -0.920047161698113 -0.967884390943396 -0.985106875471698 -0.98263664490566 -0.954453821132075 -0.989189512641509 -0.982137919056604 -0.956802766792453
"11" "STANDING" "train" -0.993808050638298 -0.968703072553191 -0.987669785531915 -0.995573762978723 -0.96350679 -0.985958517446809 -0.978301717234043 -0.994025488297872 -0.980762968085106 -0.981009115744681 -0.994353086595745 -0.98230878106383
"11" "LAYING" "train" -0.983801365614035 -0.971403935438596 -0.973576812807018 -0.985322211929825 -0.973589287368421 -0.971668077017544 -0.97618747122807 -0.982640271929825 -0.961434420701754 -0.982424585438596 -0.982660631754386 -0.963183902982456
"12" "WALKING" "test" -0.05435763951 -0.071302455092 -0.4223253002 -0.160707260634 -0.20851528006 -0.4521466944 -0.4019759318 -0.4678863378 -0.31728248436 -0.5931428818 -0.4437983296 -0.4222565212
"12" "WALKING_UPSTAIRS" "test" -0.321447925192308 -0.168341519859615 -0.560841212692308 -0.278929748076923 -0.130175559028846 -0.418599992115385 -0.426360331538462 -0.604711316153846 -0.406080936346154 -0.5604629635 -0.483918390576923 -0.396095719423077
"12" "WALKING_DOWNSTAIRS" "test" 0.0235049348717391 0.150510001156522 -0.402121221521739 0.0483347068913043 0.016749510173913 -0.48739012673913 -0.178856167345652 -0.420631474130435 -0.212767364326087 -0.4223632375 -0.518923134565217 -0.448512990434783
"12" "SITTING" "test" -0.97966614372549 -0.942768016862745 -0.954626628823529 -0.98399947745098 -0.926033975686275 -0.935916958235294 -0.968528985294118 -0.963725248823529 -0.955718183921569 -0.976339901372549 -0.959040695686274 -0.954769877647059
"12" "STANDING" "test" -0.976469472295082 -0.932775677704918 -0.947178200163934 -0.983647207377049 -0.922852028360656 -0.914189183770492 -0.890292711147541 -0.948251856721312 -0.95260195295082 -0.884385204098361 -0.938529853770492 -0.954335764426229
"12" "LAYING" "test" -0.956248487666667 -0.951265971 -0.954724801666667 -0.955207641833333 -0.9506400405 -0.948380833666667 -0.9566538865 -0.95256172 -0.9456732415 -0.969254585333333 -0.955343675666667 -0.956424382333333
"13" "WALKING" "test" -0.335030121052632 0.0955150666694737 -0.246851507561404 -0.353299848947368 0.0921968931052632 -0.269896395250877 -0.192856474047368 -0.256213554508772 -0.276607954736842 -0.435714710526316 -0.318618506122807 -0.455333900526316
"13" "WALKING_UPSTAIRS" "test" -0.382460736363636 -0.0636564765818182 -0.404785239945455 -0.266081292363636 0.114656709636364 -0.184842227972182 -0.482113007636364 -0.492176104727273 -0.255338945927273 -0.562911002545455 -0.364283258727273 -0.272525011818182
"13" "WALKING_DOWNSTAIRS" "test" -0.0726602663212766 -0.0364535247659574 -0.151178724793617 -0.0680436217021277 -0.0924444167085106 -0.233315176510213 -0.319677124659574 -0.133828886725532 -0.212906662531915 -0.452190386808511 -0.24966032923617 -0.427008254255319
"13" "SITTING" "test" -0.990135477755102 -0.959673916122449 -0.956183063510204 -0.989410582653061 -0.933666502510204 -0.934189007346939 -0.983218202857143 -0.982456053877551 -0.968384415510204 -0.986714694081633 -0.97827070877551 -0.969451754693878
